Model,Mean Accuracy,Std Accuracy
SVM,0.8052915598241768,0.009556498154806891
Logistic Regression,0.8013858134187337,0.011914241073770848
Random Forest,0.7958830640140835,0.009652092575905769
XGBoost,0.7855874143618371,0.00986001374956721
Decision Tree,0.7706797940428779,0.010634693831931849
